year,date,hour,rainfall,tempreture,Clear,Clouds,Fog,Rain
2025,2025-01-01,21,0.0,275.74,0,1,0,0
2025,2025-01-02,11,0.3,274.29,0,0,0,1
2025,2025-01-02,12,0.34,274.47,0,0,0,1
2025,2025-01-02,13,0.84,274.33,0,0,0,1
2025,2025-01-02,14,0.76,274.08,0,0,0,1
2025,2025-01-02,15,0.69,274.62,0,0,0,1
2025,2025-01-02,16,0.76,275.37,0,0,0,1
2025,2025-01-02,17,0.72,275.43,0,0,0,1
2025,2025-01-02,18,0.97,275.91,0,0,0,1
2025,2025-01-02,19,0.57,275.97,0,0,0,1
2025,2025-01-02,20,0.38,276.73,0,0,0,1
2025,2025-01-02,21,0.0,276.76,0,0,0,1
2025,2025-01-03,11,0.28,275.53,0,0,0,1
2025,2025-01-03,12,0.58,275.46,0,0,0,1
2025,2025-01-03,13,1.27,276.49,0,0,0,1
2025,2025-01-03,14,0.73,277.23,0,0,0,1
2025,2025-01-03,15,1.16,276.21,0,0,0,1
2025,2025-01-03,16,1.16,278.18,0,0,0,1
2025,2025-01-03,17,0.34,276.45,0,0,0,1
2025,2025-01-03,18,0.72,275.92,0,0,0,1
2025,2025-01-03,19,0.37,275.81,0,0,0,1
2025,2025-01-03,20,0.0,276.2,0,1,0,0
2025,2025-01-03,21,0.0,277.08,0,1,0,0
2025,2025-01-04,11,0.25,277.53,0,0,0,1
2025,2025-01-04,12,0.51,277.29,0,0,0,1
2025,2025-01-04,13,0.95,277.48,0,0,0,1
2025,2025-01-04,14,0.63,277.25,0,0,0,1
2025,2025-01-04,15,0.35,277.44,0,0,0,1
2025,2025-01-04,16,0.56,277.42,0,0,0,1
2025,2025-01-04,17,0.92,277.37,0,0,0,1
2025,2025-01-04,18,1.1,277.18,0,0,0,1
2025,2025-01-04,19,8.47,276.72,0,0,0,1
2025,2025-01-04,20,2.11,276.75,0,0,0,1
2025,2025-01-04,21,0.89,277.24,0,0,0,1
2025,2025-01-05,11,0.0,280.22,0,1,0,0
2025,2025-01-05,12,0.0,280.33,0,1,0,0
2025,2025-01-05,13,0.0,279.84,0,1,0,0
2025,2025-01-05,14,0.0,279.37,0,1,0,0
2025,2025-01-05,15,0.0,279.44,0,1,0,0
2025,2025-01-05,16,0.0,279.73,0,1,0,0
2025,2025-01-05,17,0.0,279.67,0,1,0,0
2025,2025-01-05,18,0.0,279.22,0,1,0,0
2025,2025-01-05,19,0.0,277.16,0,1,0,0
2025,2025-01-05,20,0.0,277.86,0,1,0,0
2025,2025-01-05,21,0.0,276.5,0,1,0,0
2025,2025-01-06,11,0.0,277.73,1,0,0,0
2025,2025-01-06,12,0.0,277.16,1,0,0,0
2025,2025-01-06,13,0.0,276.76,0,1,0,0
2025,2025-01-06,14,0.0,277.99,0,1,0,0
2025,2025-01-06,15,0.0,278.78,0,1,0,0
2025,2025-01-06,16,0.0,276.7,0,1,0,0
2025,2025-01-06,17,0.0,276.14,0,1,0,0
2025,2025-01-06,18,0.0,276.32,0,1,0,0
2025,2025-01-06,19,0.0,275.78,0,1,0,0
2025,2025-01-06,20,0.0,277.51,0,1,0,0
2025,2025-01-06,21,0.0,277.09,0,0,1,0
2025,2025-01-07,11,0.0,275.55,0,0,1,0
2025,2025-01-07,12,0.0,275.95,0,1,0,0
2025,2025-01-07,13,0.0,275.6,0,1,0,0
2025,2025-01-07,14,0.0,275.66,0,1,0,0
2025,2025-01-07,15,0.0,277.29,0,1,0,0
2025,2025-01-07,16,0.0,278.61,0,1,0,0
2025,2025-01-07,17,0.23,276.48,0,0,0,1
2025,2025-01-07,18,0.0,277.01,0,1,0,0
2025,2025-01-07,19,0.0,278.92,0,1,0,0
2025,2025-01-07,20,0.0,277.12,0,0,0,1
2025,2025-01-07,21,0.38,276.85,0,0,0,1
2025,2025-01-08,11,0.0,280.82,0,1,0,0
2025,2025-01-08,12,0.0,279.17,0,1,0,0
2025,2025-01-08,13,0.0,280.09,0,1,0,0
2025,2025-01-08,14,0.0,279.54,0,1,0,0
2025,2025-01-08,15,0.0,279.27,0,1,0,0
2025,2025-01-08,16,0.0,277.49,0,1,0,0
2025,2025-01-08,17,0.0,279.03,0,1,0,0
2025,2025-01-08,18,0.0,277.6,0,1,0,0
2025,2025-01-08,19,0.0,275.86,1,0,0,0
2025,2025-01-08,20,0.0,277.57,0,1,0,0
2025,2025-01-08,21,0.0,276.31,0,1,0,0
2025,2025-01-09,11,0.0,278.26,0,1,0,0
2025,2025-01-09,12,0.0,280.11,0,1,0,0
2025,2025-01-09,13,0.0,280.11,0,1,0,0
2025,2025-01-09,14,0.0,282.26,0,1,0,0
2025,2025-01-09,15,0.0,282.8,0,1,0,0
2025,2025-01-09,16,0.0,281.41,0,1,0,0
2025,2025-01-09,17,0.0,279.62,0,1,0,0
2025,2025-01-09,18,0.0,279.83,0,1,0,0
2025,2025-01-09,19,0.0,278.15,0,1,0,0
2025,2025-01-09,20,0.0,276.8,0,1,0,0
2025,2025-01-09,21,0.0,277.81,0,1,0,0
2025,2025-01-10,11,0.25,275.87,0,0,0,1
2025,2025-01-10,12,0.25,275.24,0,0,0,1
2025,2025-01-10,13,0.0,276.26,0,1,0,0
2025,2025-01-10,14,0.0,276.37,0,1,0,0
2025,2025-01-10,15,0.0,276.55,0,1,0,0
2025,2025-01-10,16,0.0,276.64,0,1,0,0
2025,2025-01-10,17,0.0,275.91,0,1,0,0
2025,2025-01-10,18,0.0,275.66,0,1,0,0
2025,2025-01-10,19,0.0,275.15,0,1,0,0
2025,2025-01-10,20,0.0,274.54,0,1,0,0
2025,2025-01-10,21,14.22,274.19,0,0,0,1
2025,2025-01-11,11,0.25,278.43,0,0,0,1
2025,2025-01-11,12,0.68,278.39,0,0,0,1
2025,2025-01-11,13,0.26,278.78,0,0,0,1
2025,2025-01-11,14,0.18,278.16,0,0,0,1
2025,2025-01-11,15,0.0,278.55,0,1,0,0
2025,2025-01-11,16,0.25,277.11,0,0,0,1
2025,2025-01-11,17,0.25,276.39,0,0,0,1
2025,2025-01-11,18,0.0,277.78,0,1,0,0
2025,2025-01-11,19,0.0,278.71,0,1,0,0
2025,2025-01-11,20,0.0,278.87,0,1,0,0
2025,2025-01-11,21,0.13,278.04,0,0,0,1
2025,2025-01-12,11,0.0,277.37,0,1,0,0
2025,2025-01-12,12,0.0,277.58,0,1,0,0
2025,2025-01-12,13,0.0,277.88,0,1,0,0
2025,2025-01-12,14,0.0,277.59,0,1,0,0
2025,2025-01-12,15,0.0,278.22,0,1,0,0
2025,2025-01-12,16,0.0,277.58,0,1,0,0
2025,2025-01-12,17,0.0,277.08,0,1,0,0
2025,2025-01-12,18,0.0,273.43,0,1,0,0
2025,2025-01-12,19,0.0,277.18,0,1,0,0
2025,2025-01-12,20,0.0,275.26,1,0,0,0
2025,2025-01-12,21,0.0,275.93,0,1,0,0
2025,2025-01-13,11,0.0,275.82,0,1,0,0
2025,2025-01-13,12,0.0,276.15,0,1,0,0
2025,2025-01-13,13,0.0,276.28,0,1,0,0
2025,2025-01-13,14,0.0,277.05,0,1,0,0
2025,2025-01-13,15,0.0,277.47,0,1,0,0
2025,2025-01-13,16,0.0,278.34,0,1,0,0
2025,2025-01-13,17,0.0,277.83,0,1,0,0
2025,2025-01-13,18,0.0,277.53,0,1,0,0
2025,2025-01-13,19,0.0,277.17,0,1,0,0
2025,2025-01-13,20,0.25,276.46,0,0,0,1
2025,2025-01-13,21,0.0,274.26,0,1,0,0
2025,2025-01-14,11,0.0,277.07,0,1,0,0
2025,2025-01-14,12,0.0,278.59,0,1,0,0
2025,2025-01-14,13,0.0,279.14,0,1,0,0
2025,2025-01-14,14,0.0,278.85,0,1,0,0
2025,2025-01-14,15,0.0,278.0,0,1,0,0
2025,2025-01-14,16,0.0,278.06,0,1,0,0
2025,2025-01-14,17,0.0,278.81,0,1,0,0
2025,2025-01-14,18,0.0,276.57,0,1,0,0
